Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
de 25 a 34 anos,Homem,1,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,1 ano,Por volta de 1 ano,Não tenho tempo para estudar,,Sim,Sim,10.0,Pesquisando no Google,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 18 a 24 anos,Prefiro não dizer,4,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 6 meses,"Poucos cursos do instrumento musical que quero aprender, Queria  comprar apenas um curso separado, mas não existe essa opção","eu já prático a bastante tempo meu instrumento (contrabaixo) e já havia desenvolvido os conhecimentos ofertados, e como no momento não tenho interesse em aprender outros instrumentos, não acho que a music dot seja o melhor lugar para eu estudar",Sim,Não,8.0,"Indicação de amigos ou família, Podcast, Indicação de influenciadores / youtubers/ podcast",,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,"acho muito interessante a ideia de ofertar cursos de vários instrumentos, más acredito que seria bom também ter a opção de assinar 2 ou 3 cursos apenas por um preço menor"
de 35 a 44 anos,Homem,0,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,1 ano,Menos de 6 meses,Senti falta de mais tutoriais completos de músicas não gospel e de conteúdo intermediário de teclado para quem não quer aprender partitura.,"Não quero aprender partitura, achei pouco conteúdo intermediário de teclado sem partitura. ",Sim,Não,10.0,Youtube,Vídeo no YouTube em 2019,"Youtube, Instagram",Não,Não fiz o acampamento,,Parabéns à equipe! Muito bom o professor Pedro Lopes
de 18 a 24 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Gosto de acompanhar alguns conteúdos produzidos,Passatempo,Alta,Média,Baixa,Média,Alta,Muito alta,Muito alta,Média,Muito alta,Alta,Média,Não,Sim,,,,,,,,,Grupo Caelum Alura,Já conhecia a alura e conheci atraves o grupo Caelum,Youtube,Não,Não,,
de 35 a 44 anos,Homem,4,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Aprender um novo estilo musical que não domino","Teclado, Piano, Violão, Guitarra, Percussão",Piano,Avançado,5 - Excelente,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,4,"A plataforma no iOS é um pouco instável. Por vezes eu faço download do vídeo, mas ele trava em algum momento. Existem muitos exercícios que não fazem sentido ter o “feedback do professor” mas o botão está sempre lá. Poderia haver um jeito de juntar os exercícios em apenas um PDF para impressão, tem cursos que tem diversos pequenos exercícios que poderiam caber em apenas uma página, mas são ruins de imprimir uma linha por folha. ","O método é estimulante, as aulas não são longas e toda aula tem ao menos uma música para tocar. Aprendi coisas que não tinha conseguido aprender nem no conservatório. ",10.0,"""Sininho"" de avisos da plataforma, post no Facebook da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de influenciadores / youtubers/ podcast",A primeira vez que ouvi falar foi no Podcast: hipsters ponto tech. Depois no YouTube ao procurar por review de teclados. ,"Youtube, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,"A plataforma no iOS precisa de alguns ajustes, mas a metodologia está excelente. "
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não vi necessidade em experimentar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades, Quero ter a música como profissão","Teclado, Canto, Áudio",Teclado,Avançado,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,4.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não ter o contato físico com outros estudantes,Flexibilidade de horário,10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Eu procurava por um video sobre review de teclados para poder comprar um teclado, então assisti a um video do Pedro sobre o XPS10 ","Youtube, Instagram",Sim,Sim,Adquirir mais conhecimento,
de 55 a 64 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,Cancelei antes o fim de vigência do meu plano,Por volta de 1 ano,"Não estou em condições financeiras no momento, Sinto que não aprendi tanto com a plataforma, Não gostei tanto dos conteúdos",,Talvez,Sim,6.0,"Youtube, Anúncios publicitários, Facebook",,Youtube,Sim,Não,"Sou tecladista,mas me interessei pelo acampamento de violão",
de 35 a 44 anos,Homem,3,Sim,Anual,Sim,"Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Teclado, Baixo",Teclado,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Nenhum aparente,Atenção dos professores em esclarecer as dúvidas,10.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, post no Facebook da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Anúncios publicitários,Em um vídeo do gaveta,"Youtube, Instagram",Sim,Sim,Aprender mais,Parabéns a todos da plataforma
Abaixo de 18 anos,Homem,1,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Tocar/cantar na igreja, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Aprender um novo estilo musical que não domino, Pretendo fazer faculdade de música","Teclado, Violão, Guitarra, Canto, Ukulelê, Teoria",Teclado,Básico,2,5 - Excelente,4,4,4,5 - Excelente,3.0,4,4,3,4,2,A liberdade de escolher o repertório,A didática e o método ,10.0,"""Sininho"" de avisos da plataforma",,,,,,,,,,,,,,,,,,,,,,,,,"Instagram, Pesquisando no Google","Eu estava procurando um curso on-line, então eu pesquisei no Google e apareceu no Instagram um anúncio então eu pesquisei mais sobre vcs :)","Youtube, Instagram",Não,Não fiz o acampamento,,Melhor equipe principalmente o Pedrão sz
de 35 a 44 anos,Homem,4,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Gosto de ficar por dentro das novidades do mundo musical, Quero aperfeiçoar o que já sei através dos conteúdos",Tocar/cantar na igreja,Muito alta,Muito alta,Alta,Média,Muito alta,Muito alta,Muito alta,Alta,Alta,Alta,Alta,Não,Sim,,,,,,,,,Youtube,Youtube,Youtube,Não,Não,Não fiz,Vcs são elegantes e simpáticos. Parabéns.
de 18 a 24 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 1 mês,"Não existe os gêneros musicais da minha preferência, Queria uma  licença vitalícia do curso, O curso deveria ser por assinatura e ser possível cancelar a qualquer momento.",,Talvez,Não,8.0,Youtube,Conheci pesquisando sobre reviews de teclados no YouTube.,"Youtube, Instagram, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,
de 25 a 34 anos,Mulher,4,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online",Quero aperfeiçoar o que já sei através dos conteúdos,"Passatempo, Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais",Alta,Média,Alta,Baixa,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Muito alta,Alta,Sim,Sim,,,,,,,,,Youtube,pesquisando no Youtube vídeos de como aprender a tocar cavaco,Não acompanho em nenhum lugar,Não,Não,,
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Quero melhorar minhas habilidades musicais,Canto,Canto,Básico,3,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,3.0,5 - Nenhuma dificuldade/ Adorei,4,4,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,,"estudar no próprio tempo, poder postar dúvidas no fórum, possibilidade de fazer curso de outros instrumentos com a mesma assinatura.",10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Podcast,Conheci através dos podcasts do Hipsters.tech e Nerdcast,Não acompanho em nenhum lugar,Sim,Não,"Vontade de aprender a cantar bem (já tocava alguns instrumentos mas nunca consegui cantar ""certo"")","Gostaria que o áudio de cada aula ficasse disponível para download na página da aula. Exemplo: Canto Iniciante 1, aula ""03. Conhecendo a Respiração"", a professora canta ao fim da aula a música ""Pra dizer adeus"", adorei cantar junto esta música mas não tem disponível um áudio do playback na versão que a professora canta. (não gostei muito das versões originais da música, preferi praticar junto com a aula)"
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Violão, Guitarra, Percussão, Teoria",Guitarra,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,3,Não uso/Não sei opiniar,"Se o aluno não tiver disciplina, perde por não havere a cobrança semanal de entregar as atividades e resultados, mas isso tem diretamente haver com a aula ser online e não com a didatica da plataforma.","flexibilidade de horário, grande gama de instrumentos e principalmente PREÇO acessível ",10.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de influenciadores / youtubers/ podcast,Gaveta fez um vídeo incrível e ofereceu promoção!,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,"Agradecer o empenho e dedicação, realmente nessa época de pandemia foi fundamental. Continuem o bom trabalho e chamem mais professores de outros instrumentos para termos mais opções."
de 25 a 34 anos,Mulher,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Bem mais do que 1 ano,Não estou em condições financeiras no momento,Opção de cursar um mês ao invés de no mínimo 6,Sim,Sim,9.0,Facebook,Facebook ,Facebook,Sim,Sim,Aperfeiçoamento ,
de 35 a 44 anos,Mulher,1,Não,,,,,,,,,,,,,,,,,,,,,,,É um canal no Youtube sobre aprendizagem musical,Quero aprender um instrumento musical,Passatempo,Muito alta,Média,Média,Baixa,Média,Muito alta,Muito alta,Muito alta,Média,Baixa,Muito alta,Não,Sim,,,,,,,,,Youtube,Pelas aulas de canto no youtube ,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Violão, Guitarra, Baixo, Ukulelê, Áudio",Guitarra,Intermediário,2,1,1,2,2,1,4.0,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,2,2,O contato com professores pela plataforma. Não me sinto a vontade.,A organização e a qualidade dos professores em geral.,10.0,"email (newsletter), Youtube da MusicDot, post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Facebook,Vendo uma postagem no facebook,"Youtube, Facebook",Não,Não fiz o acampamento,Não fiz.,"Vocês são ótimos, tanto que renovei meu plano semestral. Porém deveria ter uma forma de acompanhamento do desenvolvimento do aluno. Não gosto de ficar exposto em um fórum. Google meet mensal é uma sugestão. Ou algo privado."
de 45 a 54 anos,Homem,5,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais","Teclado, Percussão, Ukulelê, Teoria, Áudio",Percussão,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não sei responder.,Facilidade de acesso a conteúdos organizados.,10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, post no Facebook da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Assistindo um dos vídeos, vi a primeira oferta e achei interessante. Desde então não me desliguei mais.",Youtube,Não,Não fiz o acampamento,,
Abaixo de 18 anos,Homem,2,Sim,Semestral,"Não, eu não vi necessidade em experimentar",Quero ter a música como profissão,"Teclado, Violão, Teoria, Áudio",Áudio,Intermediário,5 - Excelente,4,4,4,3,5 - Excelente,5.0,4,4,Não uso/Não sei opiniar,3,1 - Muita Dificuldade/ Horrível,Tenho dificuldade em fazer downloads de cursos completos,"Acredito que tudo é ensinado já é colocado em prática, como por exemplo, se aprende uma coisa na aula e em seguida se aprende uma música",10.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"Foi com o quadro tirando de ouvido que eu assisti 2 vídeos seguidos de vocês da música quando a bad bater do Luan Santana e lover da Taylor Swift (se eu não me engano) e eu achei um bom lugar pra mim aprender teclado, (já que eu sabia o básico de Violão)","Youtube, Instagram, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,
de 45 a 54 anos,Mulher,1,Sim,Semestral,"Não, eu não vi necessidade em experimentar",Passatempo,Canto,Teoria,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,,Estudo no meu tempo. Professores escelentes!,10.0,post no Instagram da MusicDot,,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Fiz busca sobre aulas de canto online no Google.,"Youtube, Instagram",Sim,Sim,A possibilidade de esclarecer dúvidas.,Recomendo!
de 18 a 24 anos,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Quero aperfeiçoar o que já sei através dos conteúdos,"Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Quero aprender teoria musical, Quero me profissionalizar na música",Alta,Média,Média,Baixa,Muito alta,Muito alta,Muito alta,Alta,Alta,Baixa,Baixa,Não,Sim,,,,,,,,,"Anúncios publicitários, Facebook",,"Youtube, Facebook",Sim,Não,,
de 45 a 54 anos,Homem,1,Sim,Semestral,Sim,Quero melhorar minhas habilidades musicais,Teclado,Teclado,Básico,1,2,2,1,2,2,3.0,2,2,2,2,2,Repertorio ,estudar em qualquer momento que queira.,8.0,"email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,"assisto muito youtuber,  procurando vídeos de tutoriais.",Youtube,Não,Não fiz o acampamento,,"Vocês estão no caminho certo, obrigado pelo profissionalismo de vocês. "
de 35 a 44 anos,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Teclado, Percussão",Teclado,Intermediário,4,5 - Excelente,3,2,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Material para estudar,A didática,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,"Estava procurando aulas online, e pesquisei no site de busca. Pesquisei algumas opções e acabei fechando com  a MusicDot devido à uma promoção :)","Youtube, Instagram",Não,Não fiz o acampamento,,"Eu gosto demais do curso, mas tive uns problemas pessoais e não consegui acompanhar um bom período, além disso, meu plano está no final e não sei se conseguirei continuar. Se fosse possível fornecer uma bonificação me deixaria muito feliz. "
de 25 a 34 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online","Quero aprender um instrumento musical, Gosto de ficar por dentro das novidades do mundo musical, Gosto de acompanhar alguns conteúdos produzidos",Tocar/cantar na igreja,Baixa,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não,Sim,,,,,,,,,Youtube,Eu gosto do canto tenho vontade de aprender e vi Mary maravilhosa com seu conhecimento rico na área do canto ..avaliando cantores enfim e isso,Youtube,Não,Não,,Vcs estão de parabéns ótimos professores eu gosto muito de acompanhar vcs abraço
de 25 a 34 anos,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma plataforma de cursos avulsos de música","Quero aprender um instrumento musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Conhecer um novo estilo musical",Alta,Muito alta,Média,Baixa,Muito alta,Alta,Alta,Muito alta,Média,Alta,Média,Sim,Não,,,,,,,,,Pesquisando no Google,,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,Baixo,Baixo,Intermediário,4,4,3,3,3,3,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,,"Assistir os videos sob demanda, no meu tempo.",8.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,Podcast,"Nao lembro em qual Podcast em especifico, mas ouvi as propagandas em mais de um.","Youtube, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,Continuem o bom trabalho e adicionando material.
Abaixo de 18 anos,Homem,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais","Teclado, Piano, Violão",Teclado,Avançado,3,3,3,3,3,3,5.0,3,3,3,2,3,,"Acesso a qualquer hora, professores com uma didática incrível, super atenciosos, etc.",9.0,"email (newsletter), post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Pesquisando no Google",Procurando por videos sobre teclado encontrei os vídeos do prof Pedro Lopes aí conheci o Music Dot,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,1,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,6 meses,Menos de 6 meses,"Não existe os gêneros musicais da minha preferência, Não gostei do período de fidelização dos planos, Sinto que não aprendi tanto com a plataforma, Não gostei tanto dos conteúdos, As musicas sao na maioria evangelicas, e poucas MPB.",,Não,Não,2.0,Youtube,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,Sejam mais MPB e menos Evangélicos na plataforma.
de 35 a 44 anos,Homem,4,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades, Desejo dar aula um dia, Aprender um novo estilo musical que não domino, Quero ter a música como profissão","Teclado, Piano, Violão, Canto, Áudio",Violão,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,,,10.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de amigos ou família,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,1 ano,Por volta de 1 ano,"Não tenho tempo para estudar, Não gostei do período de fidelização dos planos, Queria uma  licença vitalícia do curso",,Talvez,Não,8.0,Pesquisando no Google,,Youtube,Não,Não fiz o acampamento,,
de 18 a 24 anos,Mulher,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Violão, Guitarra, Bateria, Canto, Ukulelê, Teoria",Ukulelê,Básico,4,5 - Excelente,5 - Excelente,4,5 - Excelente,5 - Excelente,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,4,não ter um professor ao seu lado dando feedback,grande variedade de instrumentos para aprender,9.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, post no Facebook da MusicDot, Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Indicação de influenciadores / youtubers/ podcast,Conheci através do canal Missão Musical,"Youtube, Newsletter",Não,Não fiz o acampamento,,"a didática dos professores é excepcional, valorizem sempre os profissionais que vocês possuem!"
